Filme,Ano,CAT0,CAT1,CAT2,CAT3
Ace Ventura - Um Detetive diferente,1994,Comédia,Ação,Aventura,Suspense
O Máskara,1994,Comédia,Fantasia,Romance,Musical
Debi & Lóide - Dois Idiotas em Apuros,1994,Comédia,Ação,Aventura,Romance
Batman Eternamente,1995,Ação,Aventura,Fantasia,Suspense
Ace Ventura 2 - Um Maluco na África,1995,Comédia,Ação,Aventura,Suspense
O Pentelho,1996,Comédia,Drama,Suspense,
O Mentiroso,1997,Comédia,Aventura,Família,Fantasia
Pequeno Milagre,1998,Comédia,Drama,Aventura,Família
O Show de Truman - O Show da Vida,1998,Comédia,Drama,Aventura,Suspense
O Mundo de Andy,1999,Comédia,Drama,Biografia,
O Grinch,2000,Comédia,Drama,Família,Fantasia
Eu Eu Mesmo e Irene,2000,Comédia,Drama,Aventura,Família
Cine Majestic,2001,Drama,Aventura,Romance,Suspense
Todo Poderoso,2003,Comédia,Aventura,Família,Fantasia
Desventuras em Série,2004,Comédia,Aventura,Família,Fantasia
Brilho Eterno de uma Mente sem Lembranças,2004,Comédia,Drama,Romance,Sci-fi
As Loucuras de Dick & Jane,2005,Comédia,Ação,Crime,Romance
Número 23,2007,Drama,Crime,Suspense,
Sim Senhor!,2008,Comédia,Drama,Familia,Romance
Horton e o Mundo dos Quem,2008,Comédia,Aventura,Fantasia,Animação
Os Fantasmas de Scrooge,2009,Drama,Familia,Fantasia,Animação
O Golpista do Ano,2009,Comédia,Drama,Crime,Biografia
Os Pinguins do Papai,2011,Comédia,Familia,Fantasia,Animação
O Incrível Burt Wonderstone,2013,Comédia,Drama,Aventura,Fantasia
Kick-Ass 2,2013,Comédia,Ação,Aventura,Crime
Tudo Por um Furo,2013,Comédia,Ação,Aventura,Fantasia
Debi & Loide 2,2014,Comédia,Drama,Ação,Aventura
Amores Canibais,2016,Drama,Ação,Suspense,Sci-fi
Crimes Obscuros,2016,Drama,Ação,Crime,Suspense
Sonic - O Filme,2020,Ação,Aventura,Animação,Sci-fi
Dois Irmãos - Uma Jornada Fantástica,2020,Comédia,Aventura,Fantasia,Animação
